subject,cluster,event_type,start,stop,origin,event,x
s0,c0,0,0.0,0.17292286120880573,0.0,0,-1.0
s0,c0,1,0.0,0.17292286120880573,0.0,1,-1.0
s0,c0,0,0.17292286120880573,0.36982888505436906,0.0,0,-1.0
s0,c0,1,0.17292286120880573,0.36982888505436906,0.17292286120880573,1,-1.0
s0,c0,0,0.36982888505436906,0.556171340734056,0.0,0,-1.0
s0,c0,1,0.36982888505436906,0.556171340734056,0.36982888505436906,1,-1.0
s0,c0,0,0.556171340734056,0.592007922166547,0.0,0,-1.0
s0,c0,1,0.556171340734056,0.592007922166547,0.556171340734056,1,-1.0
s0,c0,0,0.592007922166547,0.6216849167608803,0.0,1,-1.0
s0,c0,1,0.592007922166547,0.6216849167608803,0.592007922166547,0,-1.0
s0,c0,0,0.6216849167608803,0.8768235448879304,0.6216849167608803,0,-1.0
s0,c0,1,0.6216849167608803,0.8768235448879304,0.592007922166547,1,-1.0
s0,c0,0,0.8768235448879304,3.0224294216827534,0.6216849167608803,0,-1.0
s0,c0,1,0.8768235448879304,3.0224294216827534,0.8768235448879304,1,-1.0
s0,c0,0,3.0224294216827534,3.1883559739930125,0.6216849167608803,0,-1.0
s0,c0,1,3.0224294216827534,3.1883559739930125,3.0224294216827534,1,-1.0
s0,c0,0,3.1883559739930125,3.4689814169409265,0.6216849167608803,0,-1.0
s0,c0,1,3.1883559739930125,3.4689814169409265,3.1883559739930125,1,-1.0
s0,c0,0,3.4689814169409265,3.6086209961573483,0.6216849167608803,0,-1.0
s0,c0,1,3.4689814169409265,3.6086209961573483,3.4689814169409265,1,-1.0
s0,c0,0,3.6086209961573483,4.081683052121728,0.6216849167608803,0,-1.0
s0,c0,1,3.6086209961573483,4.081683052121728,3.6086209961573483,0,-1.0
s0,c0,0,4.081683052121728,4.419480740838366,0.6216849167608803,0,-1.0
s0,c0,1,4.081683052121728,4.419480740838366,3.6086209961573483,1,-1.0
s0,c0,0,4.419480740838366,4.473646216279487,0.6216849167608803,0,-1.0
s0,c0,1,4.419480740838366,4.473646216279487,4.419480740838366,1,-1.0
s0,c0,0,4.473646216279487,4.6337898841415175,0.6216849167608803,1,-1.0
s0,c0,1,4.473646216279487,4.6337898841415175,4.473646216279487,0,-1.0
s0,c0,0,4.6337898841415175,5.305049619514123,4.6337898841415175,0,-1.0
s0,c0,1,4.6337898841415175,5.305049619514123,4.473646216279487,1,-1.0
s0,c0,0,5.305049619514123,5.628189829050876,4.6337898841415175,0,-1.0
s0,c0,1,5.305049619514123,5.628189829050876,5.305049619514123,1,-1.0
s0,c0,0,5.628189829050876,5.870197602329727,4.6337898841415175,0,-1.0
s0,c0,1,5.628189829050876,5.870197602329727,5.628189829050876,1,-1.0
s0,c0,0,5.870197602329727,6.072234898687496,4.6337898841415175,1,-1.0
s0,c0,1,5.870197602329727,6.072234898687496,5.870197602329727,0,-1.0
s0,c0,0,6.072234898687496,6.0913247252593115,6.072234898687496,1,-1.0
s0,c0,1,6.072234898687496,6.0913247252593115,5.870197602329727,0,-1.0
s0,c0,0,6.0913247252593115,8.303073250060013,6.0913247252593115,0,-1.0
s0,c0,1,6.0913247252593115,8.303073250060013,5.870197602329727,1,-1.0
s0,c0,0,8.303073250060013,8.42338194356852,6.0913247252593115,0,-1.0
s0,c0,1,8.303073250060013,8.42338194356852,8.303073250060013,1,-1.0
s0,c0,0,8.42338194356852,8.499542174859561,6.0913247252593115,0,-1.0
s0,c0,1,8.42338194356852,8.499542174859561,8.42338194356852,1,-1.0
s0,c0,0,8.499542174859561,9.056988583986383,6.0913247252593115,0,-1.0
s0,c0,1,8.499542174859561,9.056988583986383,8.499542174859561,1,-1.0
s0,c0,0,9.056988583986383,9.806583979580914,6.0913247252593115,1,-1.0
s0,c0,1,9.056988583986383,9.806583979580914,9.056988583986383,0,-1.0
s0,c0,0,9.806583979580914,10.799295863319552,9.806583979580914,1,-1.0
s0,c0,1,9.806583979580914,10.799295863319552,9.056988583986383,0,-1.0
s0,c0,0,10.799295863319552,11.41748738497196,10.799295863319552,1,-1.0
s0,c0,1,10.799295863319552,11.41748738497196,9.056988583986383,0,-1.0
s0,c0,0,11.41748738497196,12.265202855173445,11.41748738497196,1,-1.0
s0,c0,1,11.41748738497196,12.265202855173445,9.056988583986383,0,-1.0
s0,c0,0,12.265202855173445,12.944253524241566,12.265202855173445,0,-1.0
s0,c0,1,12.265202855173445,12.944253524241566,9.056988583986383,1,-1.0
s0,c0,0,12.944253524241566,13.681082034147185,12.265202855173445,0,-1.0
s0,c0,1,12.944253524241566,13.681082034147185,12.944253524241566,1,-1.0
s0,c0,0,13.681082034147185,14.359806147187825,12.265202855173445,0,-1.0
s0,c0,1,13.681082034147185,14.359806147187825,13.681082034147185,1,-1.0
s0,c0,0,14.359806147187825,15.247971428330155,12.265202855173445,0,-1.0
s0,c0,1,14.359806147187825,15.247971428330155,14.359806147187825,1,-1.0
s0,c0,0,15.247971428330155,16.0,12.265202855173445,0,-1.0
s0,c0,1,15.247971428330155,16.0,15.247971428330155,0,-1.0
s1,c0,0,0.0,0.2662686830184125,0.0,0,-1.0
s1,c0,1,0.0,0.2662686830184125,0.0,1,-1.0
